필드번호,필드명,카테고리,한글명,데이터타입,필수여부,권장선택지,설명,예시,비고
15,pets_type,행동 및 성향,반려동물 종류,Array[String],선택,"""Dog"", ""Cat"", ""Bird"", ""Others"", ""Unknown""","계정 주인이 반려동물을 키우는 경우(pets가 true), 반려동물의 종류를 제시된 옵션 중에서 식별합니다. pets가 false인 경우 빈 배열 []로 반환합니다.",,
16,inferred_lifestyle,행동 및 성향,추론된 라이프스타일,LongText,선택,,계정 주인의 개인적 생활 방식과 가치관을 핵심 키워드로 간결하게 표현합니다. 콘텐츠 주제나 구체적 활동보다는 삶을 대하는 철학이나 생활 패턴에 집중합니다.,"""Mindful wellness lifestyle"", ""Coffee-loving urban professional"", ""Balanced family life""",
17,personality,행동 및 성향,성격 특성,Array[String],선택,,"콘텐츠를 통해 드러나는 계정 주인의 인지된 성격, 감성적 분위기, 전반적인 느낌을 나타내는 형용사 키워드 목록으로 작성합니다.","`[""Bright"", ""Calm"", ""Emotional"", ""Adventurous"", ""Intellectual""]`",
18,interests,행동 및 성향,주요 관심사,Array[String],선택,"""Fashion & Style"", ""Accessories & Jewelry"", ""Beauty"", ""Hair Care"", ""Food Culture"", ""Meals"", ""Beverages"", ""Alcoholic Beverages"", ""Snacks & Desserts"", ""Travel & Leisure"", ""Relationships & Emotions"", ""Fitness"", ""Ball Sports"", ""Outdoor Sports"", ""Indoor Sports"", ""Sports Events"", ""Wellness"", ""Healthcare"", ""Child Care & Parenting"", ""Pets"", ""Household Management"", ""Interior & Decor"", ""Photography"", ""Visual Arts"", ""Performing Arts"", ""Music"", ""Literature & Writing"", ""Media & Entertainment"", ""New Media"", ""Crafts"", ""Fan Culture"", ""Games"", ""Personal Development"", ""Academic Studies"", ""Student Life"", ""Business & Marketing"", ""Startups & Small Business"", ""Personal Finance"", ""Automotive"", ""Technology & Innovation"", ""Consumer Electronics"", ""Values & Human Rights"", ""Environment & Sustainability"", ""Community Engagement"", ""Religion & Politics"", ""Shopping & Deals"", ""Other""","콘텐츠 주제(사진, 해시태그, 캡션)를 기준으로 계정 주인의 주요 관심 분야를 식별합니다. 제시된 옵션 중에서 복수 선택 가능합니다.",,
19,interests_in_detail,행동 및 성향,세부 관심사 키워드,Array[String],선택,,"interests에서 선택한 각 카테고리별로 3-5개씩 구체적이고 세밀한 키워드를 추출합니다. 해시태그, 캡션 키워드, 이미지 콘텐츠에서 자연어 형태로 추출하며, interests와 직접 연관된 세부 주제만 포함합니다.","`[""K Beauty"", ""Skincare Routine"", ""Anti Aging"", ""Solo Travel"", ""City Exploration"", ""Cafe Culture"", ""Korean Food"", ""Food Styling""]`",
20,hobbies,행동 및 성향,취미 활동,Array[String],선택,,콘텐츠에 명확하고 정기적으로 나타나는 구체적인 여가 활동이나 취미를 목록으로 작성합니다. 뚜렷한 취미가 드러나지 않으면 빈 배열 []로 반환합니다.,"`[""Hiking"", ""Home Cafe Setup"", ""Pottery"", ""Piano Playing""]`",
21,luxury_consumption,행동 및 성향,명품 소비 수준,Boolean,선택,"""true"", ""false""",계정 주인이 명품 및 고가 브랜드 제품의 소비를 자주 보여주거나 언급하는지 여부를 제시된 옵션 중에서 선택하여 평가합니다.,,
22,k_interest,행동 및 성향,K-컬처 관심도,Boolean,선택,"""true"", ""false""","해당 계정이 K Pop, K Beauty, K Skincare, K Drama, K Fashion 등 한국 문화에 대한 뚜렷한 관심을 보이는지 여부를 true 또는 false로 표시합니다.",,
23,willing_to_collaborate,행동 및 성향,브랜드 협업 의사,Boolean,선택,"""true"", ""false""",외부 브랜드와의 협업에 대한 명시적 의사 표현이 있는지를 판단합니다. 자기소개나 콘텐츠에서 협업을 적극적으로 환영하거나 거부하는 신호를 찾아 평가합니다.,,
24,account_type,콘텐츠 특성,계정 유형,Enum,선택,"""Personal/Individual"", ""Celebrity/Influencer/Creator"", ""Business/Brand Account"", ""Product/Service Account"", ""Fan Account"", ""Others""","계정의 전반적인 활동 내용, 게시물 주제, 자기소개, 콘텐츠 유형 등을 바탕으로 가장 적합한 계정 유형을 옵션에서 선택합니다.",,
25,short_bio,콘텐츠 특성,영문 한 줄 자기소개,LongText,선택,,계정 주인이 실제로 자신의 프로필 바이오에 작성할 법한 인상적이고 매력적인 영문 한 줄 소개를 생성합니다. 개성과 매력을 어필하는 개인 브랜드 스타일로 작성합니다.,"""Chasing Seoul's hidden gems with coffee in hand and skincare dreams in heart.""",
26,title,콘텐츠 특성,대표 제목,LongText,선택,,계정 주인을 대표하는 핵심적인 제목을 작성합니다 (계정명 제외).,"""Emotional Creator Leading Beauty Trends""",
27,description,콘텐츠 특성,상세 설명,LongText,선택,,"계정 주인의 주요 활동, 취향, 관심사 및 콘텐츠의 전반적인 서사 구조를 서술형 영어 문장으로 작성합니다.","""Practices a wellness lifestyle through healthy diet and exercise, consistently sharing this journey.""",
28,content_hashtags,콘텐츠 특성,콘텐츠 해시태그,Array[String],선택,,"계정 주인의 라이프스타일, 관심사, 취향, 가치관을 표현할 수 있는 최적화된 해시태그를 생성합니다. 10개 이상 권장합니다.","`[""#UrbanExplorer"", ""#FoodieAdventures"", ""#FashionForward"", ""#TravelGram"", ""#PetLover""]`",
29,representative_images,서비스 활용,대표 이미지,Array[String],선택,,이 크리에이터를 가장 잘 대표하는 이미지 3개를 적합도 순으로 선정하세요,"`[""DLBcJsZAhAw"", ""CK8xMnPvQr2"", ""BP9tLqWxNm5""]`",
30,collaboration_tier,비즈니스 관련,협업 등급,Enum,선택,"""Ready - Premium"", ""Ready - Professional"", ""Potential - High"", ""Potential - Basic"", ""Personal Only""",인플루언서의 브랜드 협업 준비도와 역량을 실제 협업 이력 유무를 기준으로 체계적으로 분류합니다. text2sql 최적화를 위해 Ready/Potential 접두어 체계를 사용합니다.,,
31,collaborate_brand,비즈니스 관련,실제 협업 브랜드 목록,Array[String],선택,,"인플루언서가 명시적인 상업적 협업(예: 광고 표기된 스폰서 게시물, 유료 파트너십, 광고로 명확히 표시된 증정품 리뷰)을 진행한 브랜드 목록을 작성합니다. 명확한 상업적 의도 없는 단순 태그는 제외합니다. 없는 경우 빈 배열 []로 반환합니다.","`[""Nike"", ""Samsung"", ""Innisfree""]`",
32,tag_brand,비즈니스 관련,콘텐츠 내 태그된 브랜드 목록,Array[String],선택,,상업적 협업 여부와 관계없이 콘텐츠 내 해시태그나 계정 태그를 통해 언급된 브랜드 목록을 작성합니다. 개인 계정이 아닌 제품/서비스 브랜드에 초점을 맞춥니다. 없는 경우 빈 배열 []로 반환합니다.,"`[""Starbucks"", ""Ikea"", ""Apple""]`",
33,field_of_creator,비즈니스 관련,협업 가능한 전문 분야,Array[String],선택,,인플루언서가 전문성을 보이며 실제 브랜드 협업을 뒷받침할 만한 콘텐츠가 있는 특정 분야나 틈새시장을 나열합니다(단순한 취미나 관심사는 제외).,"`[""Sustainable Fashion"", ""Vegan Cooking"", ""Travel Photography"", ""Home Organization""]`",
34,note_for_brand_collaborate_point,비즈니스 관련,브랜드 협업 시 강점 및 추천 포인트,Array[String],선택,,인플루언서의 주요 강점과 비즈니스 가치를 글로벌 업계 표준 카테고리로 체계화하여 분석합니다. 모든 정량적 언급은 제공된 이미지와 텍스트에서 직접 관찰 가능한 근거에만 기반합니다.,"`[""Demonstrates specialized knowledge in K-beauty products through detailed ingredient discussions and authentic product reviews"", ""Maintains high visual content standards with consistent lighting, composition, and professional photography quality"", ""Shows strong community engagement with thoughtful responses to follower questions and active conversation participation"", ""Exhibits professional approach to brand partnerships with clear disclosure practices and authentic content integration""]`",
35,note_for_brand_weak_point,비즈니스 관련,브랜드 협업 시 약점 및 고려 사항,Array[String],선택,,브랜드 협업 시 고려해야 할 잠재적 제약사항과 리스크를 체계적으로 분석합니다. 모든 평가는 제공된 콘텐츠에서 직접 관찰된 사실에만 기반합니다.,"`[""Content focus is geographically centered on Seoul locations and Korean cultural context, which may limit relevance for global market campaigns"", ""Audience appears to be primarily interested in beauty and lifestyle content, potentially limiting effectiveness for unrelated product categories"", ""Content format heavily favors static photography over video content, which may not align with video-first campaign strategies"", ""Posting topics show seasonal variation and personal preference patterns that may affect consistent brand message delivery""]`",
36,keywords_for_brand,비즈니스 관련,브랜드 매칭용 키워드,Array[String],선택,,브랜드 마케터가 관련 협업을 위해 이 인플루언서를 식별하는 데 사용할 수 있는 키워드 목록을 제공합니다. 인플루언서의 마케팅 포지셔닝 라벨도 포함합니다.,"`[""Trendy Urban Curator"", ""K-Beauty Expert"", ""Seoul Local"", ""Authentic"", ""Minimalist Aesthetic"", ""Urban Explorer""]`",
37,demo_short,분석 메타데이터,요약 정보,LongText,선택,,"추론된 성별, 연령대, 주요 특성(예: 직업, 가족 상태, 주요 관심사)을 조합하여 계정을 간략한 영어로 요약합니다.","""30s Female Beauty Creator"", ""Twin Dad And Office Worker"", ""Minimalist Office Worker With Cats""",
38,creator_identity_profile,분석 메타데이터,크리에이터 정체성 프로필,LongText,선택,,"인플루언서/크리에이터로서의 독특한 정체성, 콘텐츠 스타일, 전문 분야, 커뮤니케이션 톤을 하나의 자연어 문단으로 종합하여 ""이런 느낌의 크리에이터""를 찾는 임베딩 검색에 최적화된 프로필을 제공합니다.","""Authentic K-beauty educator who creates meticulously detailed skincare tutorials with professional lighting and clean, minimalist aesthetic. Demonstrates genuine expertise through ingredient breakdowns and honest product reviews, maintaining a warm yet authoritative tone that builds trust with beauty enthusiasts. Specializes in making complex skincare science accessible to everyday consumers while showcasing both affordable and luxury Korean products. Engages followers through thoughtful Q&A sessions and creates a supportive community around mindful beauty routines.""

#### 판단 근거 필드 (7개) - 핵심 필드의 신뢰도 강화",
39,occupation_reason,분석 메타데이터,직업 판단 근거,LongText,선택,,occupation 필드 선택의 핵심 근거를 구체적이고 관찰 가능한 증거를 바탕으로 영어로 간결하게 서술합니다.,"""Professional photography setup visible in workspace, mentions 'content creation' in bio""",
40,personality_reason,분석 메타데이터,성격 판단 근거,LongText,선택,,personality 필드 선택의 판단 근거를 시각적 및 언어적 증거를 바탕으로 영어로 간결하게 서술합니다.,"""Consistently shows bright smiles in photos, uses encouraging language in captions""",
41,luxury_consumption_reason,분석 메타데이터,명품 소비 판단 근거,LongText,선택,,luxury_consumption 필드 선택의 판단 근거를 명품 브랜드 관련 구체적 증거를 바탕으로 영어로 간결하게 서술합니다.,"""Multiple posts featuring Chanel bags with clear brand logos, visits high-end boutiques""",
42,account_type_reason,분석 메타데이터,계정 유형 판단 근거,LongText,선택,,account_type 필드 선택의 판단 근거를 계정 특성과 콘텐츠 성격을 바탕으로 영어로 간결하게 서술합니다.,"""Professional content quality with consistent aesthetic, multiple brand collaborations marked with #ad""",
43,k_interest_reason,분석 메타데이터,K-컬처 관심도 판단 근거,LongText,선택,,k_interest 필드 선택의 판단 근거를 한국 문화 관련 구체적 증거를 바탕으로 영어로 간결하게 서술합니다.,"""Consistently uses #kbeauty hashtags, features Korean skincare brands like Innisfree""",
44,collaboration_tier_reason,분석 메타데이터,협업 등급 판단 근거,LongText,선택,,collaboration_tier 필드 선택의 판단 근거를 협업 경험과 전문성 증거를 바탕으로 영어로 간결하게 서술합니다.,"""Has documented collaborations with Nike showing #ad tags, demonstrates professional content quality""",
45,field_of_creator_reason,분석 메타데이터,전문 분야 판단 근거,LongText,선택,,field_of_creator 필드 선택의 판단 근거를 전문성 증거와 콘텐츠 일관성을 바탕으로 영어로 간결하게 서술합니다.,"""Consistently posts high-quality fitness content, demonstrates professional exercise knowledge""",
46,influencer_comprehensive_desc,분석 메타데이터,인플루언서 종합 묘사,LongText,선택,,"구조화된 필드들로는 포착할 수 없는 미묘한 특성과 복합적 패턴을 자연어로 종합 분석합니다. 관찰 가능한 영역은 상세히, 정보가 제한적인 영역은 간결히 서술하여 임베딩 기반 검색과 브랜드 매칭에 최적화된 통합 인사이트를 제공합니다.","""A sophisticated urban professional who embodies the confident, educated millennial aesthetic through carefully curated content that balances authenticity with aspirational elements. Her visual presentation has evolved from safe, conventional styling to more experimental approaches, incorporating bold colors and statement pieces that suggest growing confidence and financial stability. Educational background appears to include formal business or communications training, evidenced by strategic content planning and professional brand partnership approaches that demonstrate marketing acumen beyond typical influencer level...""",
