필드번호,필드명,카테고리,한글명,데이터타입,필수여부,권장선택지,설명,예시,비고
12,skin_concerns_in_detail,스킨케어 특성,피부 고민 세부사항,Array[String],선택,"""Hormonal Acne"", ""Cystic Acne"", ""Post Acne Scarring"", ""Fine Lines"", ""Deep Wrinkles"", ""Dehydration"", ""Melasma"", ""Rosacea"", ""Blackheads"", ""Large Pores""",skin_concerns의 구체적이고 세부적인 피부 고민 상태를 나열합니다.,,
13,skin_type,스킨케어 특성,피부 타입,Array[String],선택,"""Oily"", ""Dry"", ""Combination"", ""Normal"", ""Sensitive""",피부 타입을 추론하여 분류합니다.,,
14,skincare_ingredients,스킨케어 특성,스킨케어 성분,Array[String],선택,"""Vitamin C"", ""Retinol"", ""Hyaluronic Acid"", ""Niacinamide"", ""AHA"", ""BHA"", ""Peptides"", ""Ceramides"", ""Glycolic Acid"", ""Salicylic Acid""",관심 있거나 사용하는 스킨케어 성분을 추론하여 나열합니다.,,
15,hair_type,헤어케어 특성,모발 타입,Enum,선택,"""Straight Fine"", ""Straight Medium"", ""Straight Thick"", ""Wavy Fine"", ""Wavy Medium"", ""Wavy Thick"", ""Curly Fine"", ""Curly Medium"", ""Curly Thick"", ""Coily Fine"", ""Coily Medium"", ""Coily Thick"", ""Unknown""",모발의 곱슬 정도와 굵기를 종합적으로 분석하여 분류합니다.,,
16,hair_concerns,헤어케어 특성,모발 관련 고민사항,Array[String],선택,"""Dryness"", ""Frizz Control"", ""Volume"", ""Hair Loss"", ""Damage Repair"", ""Color Protection"", ""Scalp Care"", ""Oily Scalp"", ""Dandruff"", ""Split Ends""",모발과 관련된 주요 고민이나 개선하고자 하는 사항을 추론하여 나열합니다.,,
17,hair_items,헤어케어 특성,헤어케어 아이템,Array[String],선택,"""Shampoo"", ""Conditioner"", ""Hair Mask"", ""Hair Oil"", ""Leave In Conditioner"", ""Heat Protectant"", ""Curl Cream"", ""Hair Spray"", ""Dry Shampoo"", ""Scalp Treatment""",관심 있거나 사용하는 헤어케어 제품 카테고리를 추론하여 나열합니다.,,
18,hair_length_status,헤어케어 특성,모발 길이 상태,Enum,선택,"""Pixie"", ""Bob"", ""Shoulder Length"", ""Medium"", ""Long"", ""Very Long"", ""Unknown""",현재 모발의 길이 상태를 분석하여 분류합니다.,,
19,hair_color_history,헤어케어 특성,모발 컬러 이력,Array[String],선택,"""Natural"", ""Highlights"", ""Balayage"", ""Full Color"", ""Bleached"", ""Ombre"", ""Fantasy Colors"", ""Gray Coverage"", ""Color Correction""",염색이나 화학적 처리 이력을 추론하여 나열합니다.,,
20,beauty_tools_categories,헤어케어 특성,뷰티 도구 카테고리,Array[String],선택,"""Makeup Brushes"", ""Beauty Sponges"", ""Eyelash Curlers"", ""LED Devices"", ""Facial Rollers"", ""Cleansing Devices"", ""Hair Styling Tools"", ""Tweezers"", ""Mirrors"", ""Beauty Organizers""",사용하거나 관심 있는 뷰티 도구 및 미용기기의 카테고리를 추론하여 나열합니다.,,
21,beauty_tools_brands,헤어케어 특성,뷰티 도구 브랜드,Array[String],선택,"""Real Techniques"", ""Beauty Blender"", ""Morphe"", ""Sigma"", ""Foreo"", ""NuFace"", ""Gua Sha"", ""Jade Roller"", ""Dyson"", ""T3""",사용하거나 관심 있는 뷰티 도구 및 미용기기 브랜드를 추론하여 나열합니다.,,
22,beauty_tools_usage,헤어케어 특성,뷰티 도구 사용 유형,Array[String],선택,"""Precise Application"", ""Blending"", ""Contouring"", ""LED Therapy"", ""Facial Massage"", ""Deep Cleansing"", ""Hair Styling"", ""Eyebrow Shaping"", ""Organization"", ""Professional Technique""",뷰티 도구나 기기의 사용 목적이나 방식을 추론하여 나열합니다.,,
23,skin_tone,헤어케어 특성,피부톤,Enum,선택,"""very fair"", ""fair"", ""light"", ""medium"", ""tan"", ""deep"", ""Unknown""",피부톤을 분석하여 분류합니다.,,
24,personal_color,헤어케어 특성,퍼스널컬러,Enum,선택,"""Warm"", ""Cool"", ""Neutral"", ""Unknown""",전반적인 퍼스널컬러 성향을 분석하여 분류합니다.,,
25,personal_color_detailed,헤어케어 특성,퍼스널컬러 세분화,Enum,선택,"""Bright Spring"", ""True Spring"", ""Light Spring"", ""Light Summer"", ""True Summer"", ""Soft Summer"", ""Soft Autumn"", ""True Autumn"", ""Deep Autumn"", ""Deep Winter"", ""True Winter"", ""Bright Winter"", ""Unknown""",퍼스널컬러를 12가지 계절 타입으로 세분화하여 분석합니다.,,
26,aesthetic_keywords,헤어케어 특성,미적 추구 키워드,Array[String],선택,"""Minimalist"", ""Romantic"", ""Edgy"", ""Classic"", ""Trendy"", ""Natural"", ""Glamorous"", ""Bohemian"", ""Sophisticated"", ""Cute"", ""Clean Girl"", ""Dark Academia"", ""Cottagecore""",추구하는 미적 감각이나 스타일을 나타내는 키워드를 추론하여 나열합니다.,,
27,brand_tier_segments,헤어케어 특성,브랜드 등급 선호도,Enum,선택,"""Ultra Luxury"", ""Luxury"", ""Premium"", ""Drugstore"", ""Budget"", ""Mixed"", ""Unknown""",선호하는 뷰티 브랜드의 가격대나 등급을 6티어 시스템으로 추론하여 분류합니다.,,
28,brand_positioning_segments,헤어케어 특성,브랜드 포지셔닝 선호도,Enum,선택,"""Clean Beauty"", ""Vegan"", ""Cruelty Free"", ""Innovation"", ""Traditional"", ""Trendy"", ""Science Based"", ""Natural Ingredients"", ""Luxury Heritage"", ""Indie Brands"", ""Unknown""",선호하는 브랜드의 포지셔닝이나 컨셉을 추론하여 분류합니다.,,
29,purchase_channels,헤어케어 특성,구매 채널,Array[String],선택,"""Sephora"", ""Ulta"", ""Department Stores"", ""Korean Beauty Stores"", ""Online Beauty Retailers"", ""Brand Direct"", ""Drugstores"", ""Beauty Specialty Stores""",뷰티 제품을 구매하는 주요 채널을 추론하여 나열합니다.,,
30,k_beauty_products,헤어케어 특성,K뷰티 제품명,Array[String],선택,,한국 뷰티 브랜드의 구체적 제품명을 최대한 추론해서 상세하게 나열합니다.,,
31,beauty_review_focus,리뷰 특성 분석,리뷰 중점사항,Array[String],선택,"""Performance"", ""Longevity"", ""Value for Money"", ""Texture"", ""Packaging"", ""Color Payoff"", ""Ingredients"", ""Suitability"", ""Before After Results"", ""Application Ease""",뷰티 제품 리뷰에서 중점적으로 다루는 요소를 추론하여 나열합니다.,,
32,beauty_creator_desc,분석 메타데이터,뷰티 크리에이터 종합 분석,LongText,선택,,뷰티 인플루언서로서의 특성을 종합적으로 분석한 서술형 텍스트입니다.,,
